iteration,k=1,k=2,k=3,k=4,k=e
224,1425,1494,1454,1501,1743
225,1433,1497,1460,1503,1751
226,1435,1501,1464,1509,1757
227,1440,1504,1470,1511,1761
228,1442,1508,1472,1522,1765
229,1446,1511,1478,1527,1767
230,1451,1518,1486,1534,1781
231,1454,1519,1486,1536,1787
232,1462,1519,1491,1537,1796
233,1465,1522,1491,1538,1800
234,1467,1524,1499,1543,1804
235,1475,1531,1506,1552,1811
236,1484,1535,1516,1560,1822
237,1489,1541,1523,1566,1829
238,1490,1546,1525,1568,1833
239,1494,1552,1534,1579,1840
240,1501,1556,1538,1585,1846
241,1506,1561,1541,1590,1852
242,1511,1561,1544,1593,1857
243,1513,1562,1545,1595,1862
244,1522,1572,1556,1602,1868
245,1524,1575,1558,1604,1875
246,1530,1581,1565,1610,1881
247,1539,1592,1568,1614,1888
248,1546,1600,1574,1616,1894
249,1550,1600,1574,1620,1899
250,1550,1600,1577,1621,1899
251,1557,1606,1584,1628,1902
252,1560,1608,1586,1628,1906
253,1569,1614,1595,1634,1912
254,1571,1623,1597,1635,1922
255,1576,1628,1601,1637,1924
256,1577,1636,1606,1639,1928
257,1580,1636,1606,1646,1928
258,1584,1646,1610,1653,1937
259,1594,1648,1618,1660,1945
260,1601,1651,1625,1664,1949
261,1601,1654,1628,1668,1953
262,1606,1660,1632,1671,1958
263,1609,1666,1635,1673,1967
264,1610,1668,1639,1674,1972
265,1618,1682,1646,1681,1982
266,1621,1687,1647,1695,1986
267,1624,1687,1652,1703,1987
268,1626,1687,1653,1707,1989
269,1627,1688,1656,1708,1992
270,1631,1688,1656,1709,1993
271,1631,1696,1658,1709,1999
272,1637,1702,1660,1714,2001
273,1641,1702,1667,1716,2005
274,1647,1705,1670,1719,2008
275,1650,1713,1676,1724,2015
276,1659,1721,1682,1729,2023
277,1660,1725,1682,1730,2024
278,1660,1731,1682,1730,2031
279,1660,1733,1683,1732,2031
280,1670,1742,1693,1741,2042
281,1675,1748,1698,1750,2046
282,1683,1751,1706,1760,2053
283,1689,1759,1706,1762,2062
284,1698,1766,1712,1770,2067
285,1698,1770,1712,1774,2076
286,1699,1774,1714,1778,2079
287,1708,1783,1722,1789,2081
288,1711,1786,1723,1792,2086
289,1713,1793,1732,1797,2093
290,1715,1799,1732,1803,2100
291,1716,1800,1732,1803,2102
292,1722,1802,1735,1803,2110
293,1726,1805,1738,1807,2111
294,1727,1809,1747,1809,2114
295,1731,1816,1752,1821,2118
296,1734,1820,1757,1826,2127
297,1735,1820,1763,1833,2135
298,1741,1825,1768,1840,2142
299,1747,1826,1775,1844,2145
300,1747,1828,1785,1845,2148
301,1747,1831,1785,1845,2155
302,1750,1838,1786,1845,2161
303,1754,1845,1790,1849,2163
304,1755,1849,1792,1850,2169
305,1757,1850,1794,1852,2171
306,1764,1850,1794,1853,2183
307,1768,1853,1795,1860,2194
308,1775,1860,1799,1866,2213
309,1781,1868,1803,1868,2219
310,1781,1873,1810,1868,2225
311,1783,1879,1813,1873,2226
312,1783,1883,1813,1874,2229
313,1794,1892,1815,1874,2239
314,1798,1896,1821,1880,2243
315,1807,1902,1828,1887,2250
316,1819,1915,1835,1891,2258
317,1819,1915,1835,1891,2260
318,1825,1918,1835,1892,2260
319,1825,1918,1835,1898,2264
320,1829,1924,1837,1902,2268
321,1834,1932,1846,1910,2276
322,1839,1936,1851,1915,2280
323,1848,1944,1862,1926,2288
324,1850,1944,1864,1926,2294
325,1852,1946,1868,1930,2299
326,1857,1950,1872,1939,2304
327,1858,1952,1880,1939,2308
328,1863,1955,1887,1946,2315
329,1864,1955,1887,1946,2316
330,1864,1958,1892,1954,2320
331,1867,1961,1893,1959,2322
332,1870,1968,1903,1967,2328
333,1876,1976,1910,1979,2336
334,1883,1983,1917,1987,2345
335,1885,1989,1918,1988,2348
336,1886,1991,1922,1989,2348
337,1887,1991,1922,1989,2354
338,1889,1999,1927,1991,2361
339,1894,1999,1928,1994,2361
340,1900,2004,1931,1999,2362
341,1900,2008,1939,2004,2365
342,1906,2018,1946,2012,2374
343,1907,2019,1947,2013,2375
344,1910,2024,1952,2017,2382
345,1913,2027,1958,2021,2390
346,1916,2031,1958,2025,2392
347,1926,2043,1968,2035,2400
348,1929,2049,1970,2035,2404
349,1931,2051,1978,2038,2408
350,1935,2055,1982,2042,2410
351,1946,2066,1990,2052,2418
352,1953,2076,1996,2053,2418
353,1955,2081,1998,2059,2422
354,1961,2086,2002,2063,2433
355,1964,2089,2003,2063,2436
356,1967,2092,2004,2064,2438
357,1973,2097,2006,2069,2444
358,1978,2105,2017,2073,2449
359,1988,2113,2023,2080,2452
360,1993,2119,2027,2084,2456
361,1996,2120,2029,2088,2458
362,2002,2124,2035,2092,2463
363,2005,2129,2038,2098,2471
364,2013,2129,2039,2099,2478
365,2019,2131,2045,2103,2480
366,2021,2133,2047,2106,2484
367,2026,2139,2052,2112,2488
368,2030,2146,2056,2113,2496
369,2030,2148,2062,2117,2496
370,2033,2153,2067,2120,2499
