iteration,k=1,k=2,k=3,k=4,k=e
852,3741,3797,3682,3984,4675
853,3744,3802,3688,3993,4684
854,3746,3806,3690,3995,4686
855,3748,3807,3690,3995,4688
856,3753,3811,3697,4002,4694
857,3759,3811,3697,4002,4694
858,3764,3811,3697,4006,4695
859,3764,3812,3697,4008,4696
860,3765,3812,3697,4008,4696
861,3765,3813,3697,4008,4696
862,3771,3819,3705,4014,4702
863,3773,3822,3705,4014,4702
864,3775,3824,3709,4018,4705
865,3775,3829,3709,4019,4705
866,3781,3830,3710,4020,4705
867,3789,3830,3710,4020,4712
868,3791,3834,3710,4025,4712
869,3791,3834,3712,4027,4714
870,3799,3841,3716,4033,4721
871,3802,3844,3717,4035,4723
872,3805,3846,3719,4039,4723
873,3807,3846,3720,4039,4723
874,3809,3855,3720,4040,4727
875,3812,3858,3723,4042,4729
876,3812,3859,3726,4042,4732
877,3813,3859,3733,4048,4737
878,3821,3864,3742,4053,4737
879,3822,3866,3742,4055,4737
880,3825,3868,3744,4056,4737
881,3827,3871,3751,4060,4745
882,3830,3874,3752,4061,4748
883,3835,3881,3752,4063,4748
884,3842,3887,3753,4065,4752
885,3849,3891,3757,4067,4756
886,3854,3894,3759,4070,4760
887,3856,3898,3764,4077,4762
888,3856,3898,3769,4077,4763
889,3863,3904,3772,4083,4769
890,3866,3907,3774,4085,4771
891,3869,3910,3778,4090,4775
892,3873,3914,3778,4091,4775
893,3881,3919,3780,4094,4777
894,3888,3921,3784,4100,4782
895,3888,3921,3786,4102,4784
896,3888,3921,3789,4103,4784
897,3889,3925,3790,4111,4785
898,3890,3926,3795,4112,4786
899,3893,3927,3797,4114,4792
900,3898,3931,3802,4119,4797
901,3901,3945,3805,4122,4797
902,3903,3948,3808,4128,4802
903,3905,3950,3811,4132,4803
904,3906,3955,3819,4132,4804
905,3906,3955,3819,4132,4804
906,3908,3955,3820,4135,4806
907,3908,3959,3820,4135,4806
908,3915,3967,3824,4137,4810
909,3915,3967,3825,4137,4811
910,3917,3969,3826,4137,4814
911,3918,3973,3830,4138,4814
912,3921,3973,3834,4141,4817
913,3922,3973,3835,4143,4817
914,3925,3977,3838,4149,4820
915,3929,3977,3839,4151,4820
916,3929,3978,3840,4151,4822
917,3933,3978,3840,4155,4828
918,3933,3978,3842,4162,4835
919,3935,3985,3849,4167,4839
920,3937,3985,3854,4168,4840
921,3943,3989,3855,4174,4841
922,3949,3998,3855,4174,4841
923,3953,3999,3860,4179,4848
924,3955,4004,3870,4187,4848
925,3955,4009,3874,4191,4851
926,3964,4017,3881,4201,4860
927,3970,4019,3883,4207,4866
928,3970,4019,3887,4210,4866
929,3972,4019,3889,4212,4868
930,3977,4019,3890,4214,4871
931,3979,4023,3891,4215,4871
932,3979,4024,3896,4219,4874
933,3979,4030,3902,4225,4878
934,3979,4030,3903,4226,4883
935,3982,4033,3909,4228,4885
936,3988,4037,3914,4231,4885
937,3994,4043,3920,4240,4894
938,3997,4048,3923,4246,4894
939,3997,4051,3923,4253,4898
940,3998,4054,3925,4254,4900
941,3998,4056,3927,4259,4902
942,3998,4056,3933,4260,4902
943,3999,4061,3937,4270,4908
944,3999,4068,3937,4270,4913
945,3999,4068,3938,4270,4915
946,4004,4071,3942,4275,4920
947,4011,4071,3949,4283,4920
948,4018,4075,3950,4283,4923
949,4020,4078,3952,4286,4926
950,4022,4080,3955,4289,4930
951,4023,4081,3956,4289,4930
952,4032,4083,3961,4291,4933
953,4038,4083,3962,4297,4939
954,4043,4086,3966,4303,4941
955,4046,4087,3971,4310,4944
956,4046,4091,3971,4310,4944
957,4046,4092,3977,4314,4948
958,4046,4092,3979,4314,4948
959,4049,4092,3984,4314,4952
960,4052,4096,3989,4318,4961
961,4053,4096,3989,4320,4961
962,4057,4097,3993,4324,4965
963,4067,4098,3993,4326,4976
964,4073,4102,3998,4330,4979
965,4074,4102,4001,4335,4979
966,4074,4104,4004,4343,4979
967,4077,4109,4007,4344,4983
968,4078,4115,4012,4350,4989
969,4085,4118,4012,4351,4998
970,4085,4118,4012,4351,4998
971,4092,4125,4018,4356,5004
972,4096,4129,4025,4363,5007
973,4103,4137,4033,4373,5007
974,4104,4138,4033,4373,5010
975,4104,4141,4033,4373,5010
976,4106,4141,4034,4374,5010
977,4107,4141,4035,4375,5019
978,4113,4144,4035,4375,5021
979,4117,4149,4035,4377,5029
980,4122,4153,4041,4381,5035
981,4127,4157,4047,4386,5037
982,4131,4164,4052,4389,5040
983,4138,4167,4060,4390,5043
984,4143,4169,4062,4393,5046
985,4150,4178,4070,4402,5051
986,4156,4182,4081,4411,5057
987,4160,4186,4084,4414,5059
988,4160,4191,4084,4414,5060
989,4160,4193,4086,4415,5062
990,4166,4193,4088,4419,5066
991,4167,4194,4088,4420,5067
992,4172,4197,4093,4421,5067
993,4180,4197,4093,4423,5067
994,4182,4202,4093,4428,5069
995,4184,4202,4096,4433,5074
996,4184,4203,4096,4436,5076
997,4184,4205,4096,4436,5076
998,4187,4209,4099,4440,5079
999,4188,4209,4099,4444,5083
1000,4189,4212,4101,4445,5084
1001,4189,4212,4101,4445,5085
1002,4192,4215,4104,4448,5088
1003,4197,4215,4107,4453,5088
1004,4200,4215,4114,4460,5094
1005,4203,4217,4117,4464,5098
1006,4205,4220,4120,4467,5099
1007,4205,4221,4121,4469,5103
1008,4211,4226,4121,4471,5108
1009,4211,4230,4121,4471,5108
1010,4215,4234,4123,4471,5110
1011,4218,4238,4128,4475,5114
1012,4227,4242,4133,4480,5117
1013,4229,4242,4134,4485,5120
1014,4235,4246,4135,4488,5124
1015,4235,4249,4138,4491,5126
1016,4236,4249,4138,4495,5126
1017,4244,4255,4147,4497,5135
1018,4248,4258,4152,4501,5139
1019,4253,4264,4156,4509,5145
1020,4256,4264,4160,4512,5151
1021,4259,4277,4163,4515,5154
1022,4269,4280,4166,4520,5157
1023,4269,4280,4167,4520,5157
1024,4270,4284,4168,4521,5161
1025,4272,4286,4169,4523,5163
1026,4278,4293,4175,4531,5170
1027,4278,4293,4175,4531,5170
1028,4280,4296,4180,4534,5171
1029,4280,4296,4182,4538,5175
1030,4281,4296,4183,4538,5176
1031,4286,4302,4186,4539,5179
1032,4286,4302,4186,4539,5179
1033,4289,4302,4186,4539,5179
1034,4290,4304,4190,4540,5181
1035,4295,4305,4190,4548,5181
1036,4299,4305,4192,4549,5183
1037,4300,4308,4194,4550,5183
1038,4301,4310,4203,4557,5186
1039,4301,4310,4203,4563,5189
1040,4304,4315,4210,4565,5191
1041,4304,4315,4218,4567,5194
1042,4305,4317,4221,4571,5196
1043,4305,4317,4221,4574,5199
1044,4310,4318,4223,4575,5203
1045,4312,4318,4225,4577,5205
1046,4319,4319,4229,4581,5208
1047,4331,4323,4235,4586,5215
1048,4331,4327,4235,4586,5220
1049,4332,4328,4242,4586,5225
1050,4333,4335,4245,4590,5229
1051,4333,4340,4245,4590,5229
1052,4335,4340,4252,4593,5229
1053,4342,4342,4259,4598,5235
1054,4350,4342,4266,4607,5235
1055,4350,4342,4270,4613,5235
1056,4353,4346,4278,4619,5241
1057,4355,4347,4280,4624,5246
1058,4357,4347,4280,4627,5249
1059,4358,4347,4280,4627,5249
1060,4363,4347,4280,4636,5253
1061,4365,4350,4282,4640,5253
1062,4367,4355,4287,4646,5258
1063,4369,4355,4287,4646,5260
1064,4372,4356,4287,4646,5260
1065,4372,4356,4290,4646,5260
1066,4376,4358,4290,4649,5260
1067,4379,4366,4293,4652,5264
1068,4381,4366,4296,4654,5267
1069,4387,4366,4303,4655,5268
1070,4388,4366,4303,4655,5273
1071,4388,4366,4303,4655,5273
1072,4389,4369,4305,4655,5277
1073,4389,4369,4305,4655,5278
1074,4391,4372,4305,4655,5280
1075,4392,4375,4306,4655,5281
1076,4394,4377,4308,4658,5284
1077,4400,4381,4310,4658,5284
1078,4404,4387,4317,4661,5284
1079,4404,4389,4321,4664,5287
1080,4407,4391,4323,4666,5291
1081,4423,4403,4324,4670,5291
1082,4426,4410,4328,4674,5295
1083,4431,4417,4334,4681,5301
1084,4442,4418,4334,4686,5301
1085,4444,4424,4336,4688,5302
1086,4451,4424,4340,4695,5308
1087,4452,4426,4341,4696,5311
1088,4458,4431,4341,4711,5314
1089,4464,4436,4347,4711,5316
1090,4470,4438,4350,4715,5318
1091,4476,4438,4357,4722,5324
1092,4479,4441,4358,4722,5325
1093,4479,4446,4365,4724,5329
1094,4487,4452,4370,4735,5332
1095,4489,4453,4373,4738,5336
1096,4495,4458,4376,4739,5341
1097,4499,4459,4378,4741,5343
1098,4501,4461,4380,4741,5349
1099,4501,4461,4381,4741,5349
1100,4501,4463,4381,4743,5349
1101,4503,4464,4381,4743,5350
1102,4503,4467,4383,4743,5350
1103,4507,4471,4385,4746,5354
1104,4511,4474,4390,4748,5358
1105,4511,4477,4393,4748,5362
1106,4515,4479,4394,4751,5366
1107,4517,4485,4398,4755,5370
1108,4518,4487,4400,4757,5374
1109,4518,4487,4400,4757,5374
1110,4521,4489,4406,4764,5374
1111,4521,4489,4410,4769,5375
1112,4524,4497,4414,4771,5379
1113,4530,4499,4417,4774,5385
1114,4535,4500,4419,4778,5388
1115,4536,4502,4422,4778,5388
1116,4541,4502,4429,4778,5388
1117,4547,4508,4436,4780,5396
1118,4548,4508,4436,4780,5398
1119,4557,4509,4439,4781,5402
1120,4559,4509,4439,4783,5402
1121,4563,4512,4443,4787,5405
1122,4565,4512,4446,4795,5407
1123,4565,4513,4448,4795,5408
1124,4565,4513,4449,4796,5409
1125,4570,4516,4450,4800,5410
1126,4570,4519,4452,4802,5412
1127,4575,4524,4455,4806,5417
1128,4585,4533,4455,4806,5419
1129,4588,4534,4458,4808,5419
1130,4593,4534,4461,4816,5424
1131,4593,4543,4461,4819,5425
1132,4599,4543,4464,4824,5430
1133,4599,4548,4468,4824,5432
1134,4599,4550,4468,4824,5432
1135,4600,4550,4470,4825,5433
1136,4607,4551,4476,4827,5435
1137,4607,4555,4478,4828,5435
1138,4612,4560,4478,4830,5438
1139,4619,4560,4479,4832,5438
1140,4620,4561,4482,4834,5441
1141,4623,4561,4486,4840,5444
1142,4630,4566,4492,4847,5450
1143,4631,4574,4493,4849,5450
1144,4635,4576,4497,4852,5456
1145,4635,4583,4501,4856,5460
1146,4643,4587,4509,4862,5469
1147,4645,4590,4510,4863,5469
1148,4652,4595,4515,4867,5475
1149,4652,4597,4515,4867,5475
1150,4656,4602,4518,4874,5480
1151,4661,4606,4520,4878,5482
1152,4663,4611,4523,4887,5482
1153,4668,4614,4531,4889,5487
1154,4672,4619,4536,4894,5492
1155,4672,4624,4536,4894,5493
1156,4677,4629,4541,4900,5497
1157,4677,4629,4542,4901,5498
1158,4682,4630,4547,4909,5506
1159,4686,4634,4551,4913,5510
1160,4689,4634,4552,4916,5513
1161,4689,4634,4552,4917,5514
1162,4690,4637,4554,4917,5519
1163,4693,4639,4556,4919,5520
1164,4695,4643,4559,4921,5523
1165,4701,4649,4564,4928,5530
1166,4701,4649,4564,4928,5530
1167,4706,4650,4566,4928,5530
1168,4709,4654,4570,4931,5537
1169,4714,4661,4574,4937,5541
1170,4716,4661,4576,4938,5541
1171,4721,4664,4577,4938,5542
1172,4722,4669,4581,4942,5545
1173,4723,4670,4582,4944,5547
1174,4727,4676,4586,4951,5555
1175,4735,4676,4594,4958,5564
1176,4740,4677,4599,4959,5564
1177,4749,4681,4600,4964,5565
1178,4754,4682,4609,4965,5573
1179,4757,4688,4611,4967,5575
1180,4761,4690,4611,4971,5575
1181,4767,4690,4611,4975,5575
1182,4773,4693,4619,4983,5582
1183,4775,4696,4623,4986,5586
1184,4775,4702,4623,4986,5587
1185,4783,4710,4631,4993,5589
1186,4785,4714,4635,4996,5593
1187,4788,4719,4637,4998,5595
1188,4788,4725,4637,4998,5595
1189,4790,4726,4637,4998,5596
1190,4793,4728,4642,5002,5602
1191,4801,4732,4646,5006,5605
1192,4806,4732,4652,5013,5611
1193,4809,4733,4657,5016,5616
1194,4812,4734,4657,5017,5618
1195,4819,4734,4664,5018,5627
1196,4819,4738,4667,5019,5628
1197,4819,4738,4670,5028,5628
1198,4820,4741,4677,5034,5629
1199,4820,4742,4677,5034,5629
1200,4824,4744,4682,5038,5633
1201,4837,4748,4686,5041,5637
1202,4840,4750,4689,5042,5642
1203,4845,4751,4692,5045,5643
1204,4845,4751,4693,5047,5643
1205,4847,4755,4698,5051,5644
1206,4848,4759,4702,5052,5646
1207,4857,4765,4704,5054,5648
1208,4858,4766,4705,5058,5650
1209,4858,4768,4706,5059,5651
1210,4862,4772,4710,5062,5655
1211,4872,4780,4723,5066,5666
1212,4876,4784,4729,5073,5672
1213,4881,4789,4734,5078,5676
1214,4891,4793,4743,5085,5685
1215,4895,4793,4745,5089,5685
1216,4900,4796,4745,5095,5691
1217,4900,4796,4745,5095,5692
1218,4901,4798,4750,5098,5698
1219,4901,4802,4757,5098,5701
1220,4904,4807,4762,5104,5706
1221,4906,4810,4764,5105,5707
1222,4912,4814,4769,5109,5714
1223,4912,4819,4769,5109,5714
1224,4914,4826,4774,5111,5715
1225,4918,4831,4777,5114,5715
1226,4922,4835,4778,5114,5719
1227,4925,4839,4782,5117,5722
1228,4925,4839,4786,5117,5722
1229,4926,4843,4791,5119,5723
1230,4933,4847,4796,5127,5732
1231,4935,4850,4796,5132,5735
1232,4942,4854,4799,5137,5739
1233,4943,4854,4799,5137,5739
1234,4946,4862,4802,5142,5743
1235,4948,4863,4802,5143,5747
1236,4953,4874,4807,5148,5757
1237,4954,4875,4808,5148,5762
1238,4958,4878,4813,5152,5769
1239,4963,4879,4818,5157,5773
1240,4963,4879,4818,5157,5774
1241,4964,4880,4818,5158,5774
1242,4972,4889,4822,5161,5775
1243,4979,4891,4822,5166,5783
1244,4982,4894,4826,5170,5787
1245,4988,4894,4834,5177,5792
1246,4990,4899,4838,5180,5795
1247,4991,4899,4840,5181,5795
1248,4991,4899,4840,5181,5795
1249,4993,4901,4843,5181,5798
1250,4998,4907,4843,5181,5798
1251,5001,4908,4844,5184,5802
1252,5008,4908,4844,5193,5802
1253,5010,4911,4844,5193,5804
1254,5019,4911,4846,5193,5808
1255,5020,4913,4846,5193,5814
1256,5024,4913,4848,5199,5815
1257,5028,4913,4854,5199,5818
1258,5030,4915,4856,5201,5820
1259,5036,4920,4858,5203,5822
1260,5041,4923,4862,5209,5824
1261,5042,4929,4868,5210,5828
1262,5046,4929,4868,5210,5828
1263,5047,4931,4868,5211,5828
1264,5051,4931,4868,5212,5829
1265,5052,4931,4877,5212,5837
1266,5054,4939,4880,5218,5841
1267,5058,4948,4882,5222,5845
1268,5061,4949,4882,5223,5846
1269,5067,4953,4885,5226,5851
1270,5067,4957,4886,5226,5855
1271,5070,4959,4890,5231,5859
1272,5070,4959,4892,5231,5859
1273,5074,4959,4895,5233,5860
1274,5078,4962,4900,5238,5867
1275,5082,4969,4904,5242,5872
1276,5088,4973,4907,5248,5877
1277,5093,4975,4909,5248,5879
1278,5098,4979,4913,5252,5883
1279,5102,4979,4916,5256,5885
1280,5104,4979,4919,5257,5886
1281,5104,4981,4919,5257,5887
1282,5113,4990,4927,5259,5897
1283,5118,4991,4931,5262,5899
1284,5118,4992,4932,5262,5900
1285,5118,4994,4932,5262,5901
1286,5122,4998,4933,5265,5904
1287,5124,5000,4934,5266,5906
1288,5124,5000,4934,5266,5906
1289,5124,5000,4934,5266,5906
1290,5127,5000,4937,5270,5910
1291,5135,5006,4942,5274,5916
1292,5135,5011,4942,5275,5921
1293,5138,5015,4945,5278,5927
1294,5138,5015,4945,5278,5927
1295,5143,5018,4949,5278,5938
1296,5145,5020,4951,5282,5941
1297,5145,5021,4951,5282,5941
1298,5145,5021,4951,5282,5941
1299,5147,5021,4951,5283,5942
1300,5147,5021,4951,5283,5943
1301,5148,5021,4952,5284,5943
1302,5154,5027,4959,5290,5949
1303,5154,5027,4961,5291,5950
1304,5158,5033,4965,5295,5954
1305,5164,5035,4970,5302,5958
1306,5168,5040,4972,5307,5961
1307,5172,5042,4977,5309,5964
1308,5177,5043,4978,5313,5968
1309,5180,5048,4980,5316,5972
1310,5180,5056,4980,5316,5977
1311,5183,5064,4985,5324,5982
1312,5186,5068,4986,5326,5986
1313,5186,5071,4987,5327,5988
1314,5186,5071,4987,5327,5988
1315,5188,5074,4988,5331,5990
1316,5194,5075,4994,5336,5996
1317,5194,5075,4994,5336,5996
1318,5194,5075,4994,5336,5996
1319,5194,5076,4994,5343,6003
1320,5201,5076,5002,5346,6008
1321,5204,5081,5004,5348,6010
1322,5211,5085,5010,5350,6022
1323,5211,5091,5015,5354,6030
1324,5211,5093,5015,5355,6032
1325,5211,5095,5015,5355,6032
1326,5215,5098,5019,5359,6038
1327,5215,5098,5019,5359,6041
1328,5217,5108,5019,5363,6042
1329,5221,5117,5024,5366,6049
1330,5227,5122,5030,5369,6052
1331,5228,5126,5031,5370,6052
1332,5234,5130,5033,5372,6056
1333,5234,5130,5036,5372,6056
1334,5236,5134,5041,5374,6056
1335,5236,5134,5041,5374,6056
1336,5239,5134,5041,5374,6056
1337,5243,5137,5044,5377,6057
1338,5245,5142,5047,5379,6062
1339,5247,5142,5051,5379,6062
1340,5252,5149,5057,5385,6063
1341,5252,5151,5057,5385,6063
1342,5253,5152,5058,5385,6063
1343,5256,5154,5059,5386,6063
1344,5256,5155,5059,5386,6066
1345,5257,5159,5060,5386,6066
1346,5257,5164,5060,5387,6067
1347,5257,5165,5060,5387,6067
1348,5261,5165,5065,5391,6067
1349,5264,5165,5065,5394,6070
1350,5265,5165,5066,5395,6070
1351,5265,5168,5066,5395,6073
1352,5266,5171,5067,5396,6078
1353,5266,5171,5069,5396,6080
1354,5268,5174,5072,5398,6080
1355,5268,5176,5072,5398,6080
1356,5268,5180,5072,5398,6080
1357,5271,5182,5078,5402,6084
1358,5271,5182,5078,5402,6087
1359,5276,5185,5079,5405,6092
1360,5285,5190,5079,5411,6092
1361,5285,5191,5079,5412,6096
1362,5288,5193,5080,5412,6097
1363,5288,5193,5080,5412,6097
1364,5291,5198,5084,5422,6102
1365,5291,5198,5084,5422,6102
1366,5295,5200,5088,5429,6103
1367,5303,5200,5095,5437,6105
1368,5309,5204,5101,5443,6108
1369,5313,5205,5103,5450,6110
1370,5314,5205,5104,5450,6111
1371,5322,5207,5105,5452,6113
1372,5325,5210,5109,5454,6114
1373,5332,5216,5109,5462,6119
1374,5332,5216,5109,5465,6119
1375,5333,5217,5110,5466,6124
1376,5333,5220,5110,5466,6124
1377,5334,5221,5111,5468,6128
1378,5335,5223,5111,5468,6130
1379,5337,5234,5114,5470,6130
1380,5341,5235,5115,5471,6132
1381,5341,5238,5120,5474,6137
1382,5343,5244,5123,5477,6143
1383,5343,5244,5123,5477,6143
1384,5350,5244,5131,5481,6153
1385,5355,5248,5137,5481,6153
1386,5356,5248,5137,5481,6153
1387,5363,5251,5140,5481,6156
1388,5363,5251,5140,5481,6156
1389,5373,5259,5149,5485,6158
1390,5373,5259,5149,5486,6166
1391,5373,5259,5151,5488,6166
1392,5380,5260,5159,5492,6176
1393,5380,5260,5159,5492,6176
1394,5380,5260,5159,5492,6178
1395,5382,5263,5162,5495,6185
1396,5389,5263,5162,5495,6185
1397,5393,5263,5164,5499,6187
1398,5393,5269,5173,5504,6194
1399,5402,5269,5183,5504,6203
1400,5408,5269,5183,5505,6203
1401,5410,5269,5184,5506,6203
1402,5410,5269,5184,5506,6203
1403,5416,5269,5184,5506,6208
1404,5416,5272,5186,5509,6211
1405,5416,5272,5186,5509,6211
1406,5419,5273,5187,5515,6214
1407,5419,5273,5188,5515,6214
1408,5421,5276,5192,5525,6216
1409,5426,5280,5194,5525,6216
1410,5429,5284,5196,5529,6219
1411,5437,5286,5198,5531,6220
1412,5443,5286,5200,5534,6222
1413,5450,5287,5201,5536,6223
1414,5451,5296,5205,5537,6228
1415,5455,5299,5208,5542,6232
1416,5462,5306,5211,5542,6237
1417,5463,5307,5219,5543,6244
1418,5463,5307,5219,5543,6244
1419,5472,5308,5224,5550,6247
1420,5473,5309,5224,5550,6248
1421,5475,5314,5225,5552,6250
1422,5477,5317,5227,5554,6253
1423,5477,5317,5227,5554,6256
1424,5477,5317,5227,5554,6256
1425,5477,5317,5227,5556,6256
1426,5477,5317,5227,5556,6256
1427,5489,5317,5236,5563,6267
1428,5492,5324,5239,5567,6268
1429,5501,5331,5247,5576,6273
1430,5504,5337,5251,5577,6274
1431,5504,5343,5254,5580,6278
1432,5504,5347,5254,5585,6280
1433,5507,5348,5259,5589,6281
1434,5515,5352,5262,5589,6283
1435,5515,5352,5262,5589,6283
1436,5518,5355,5267,5594,6289
1437,5523,5355,5269,5599,6289
1438,5523,5355,5270,5599,6289
1439,5523,5363,5279,5600,6299
1440,5523,5364,5279,5601,6299
1441,5526,5365,5283,5602,6302
1442,5526,5369,5283,5605,6307
1443,5526,5369,5283,5605,6307
1444,5526,5372,5285,5605,6310
1445,5527,5376,5288,5609,6313
1446,5529,5376,5295,5618,6313
1447,5535,5381,5300,5624,6316
1448,5541,5385,5306,5629,6323
1449,5542,5390,5312,5632,6329
1450,5545,5391,5312,5637,6334
1451,5545,5394,5316,5638,6335
1452,5545,5394,5316,5638,6335
1453,5548,5394,5316,5638,6337
1454,5549,5395,5316,5639,6337
1455,5559,5404,5325,5649,6346
1456,5559,5407,5325,5649,6346
1457,5559,5408,5325,5649,6346
1458,5559,5411,5328,5649,6346
1459,5561,5412,5329,5649,6349
1460,5565,5416,5333,5650,6354
1461,5565,5417,5333,5650,6354
1462,5565,5422,5334,5651,6354
1463,5567,5423,5335,5655,6355
1464,5567,5423,5335,5655,6355
1465,5572,5428,5337,5655,6359
1466,5577,5429,5341,5657,6362
1467,5582,5430,5343,5657,6366
1468,5582,5430,5343,5658,6368
1469,5582,5430,5343,5658,6368
1470,5589,5433,5347,5667,6377
1471,5592,5433,5350,5667,6385
1472,5600,5436,5359,5671,6394
1473,5603,5441,5364,5676,6398
1474,5614,5443,5374,5679,6400
1475,5614,5446,5374,5683,6405
1476,5619,5447,5377,5686,6408
1477,5621,5451,5378,5686,6408
1478,5626,5454,5384,5691,6414
1479,5628,5454,5389,5691,6414
1480,5629,5459,5396,5691,6414
1481,5630,5461,5398,5691,6416
1482,5630,5462,5398,5691,6416
1483,5630,5463,5398,5691,6416
1484,5631,5464,5401,5691,6420
1485,5632,5465,5402,5699,6422
1486,5635,5470,5405,5702,6426
1487,5636,5476,5409,5712,6427
1488,5637,5480,5412,5714,6430
1489,5638,5482,5416,5717,6432
1490,5639,5484,5417,5717,6435
1491,5647,5485,5419,5718,6439
1492,5648,5487,5424,5718,6440
1493,5653,5490,5430,5722,6441
1494,5657,5494,5435,5725,6446
1495,5658,5495,5437,5726,6446
1496,5665,5498,5445,5733,6453
1497,5668,5498,5448,5741,6457
1498,5670,5502,5450,5745,6460
1499,5671,5506,5457,5749,6461
1500,5671,5507,5457,5749,6461
1501,5673,5507,5459,5751,6468
1502,5673,5510,5459,5755,6471
1503,5677,5512,5460,5759,6476
1504,5677,5512,5460,5759,6477
1505,5677,5512,5460,5759,6478
1506,5677,5512,5460,5761,6478
1507,5677,5512,5460,5761,6478
1508,5677,5512,5460,5761,6479
1509,5682,5518,5462,5761,6480
1510,5682,5521,5462,5763,6482
1511,5682,5521,5462,5763,6482
1512,5685,5524,5464,5774,6484
1513,5685,5524,5464,5774,6484
1514,5685,5524,5469,5774,6484
1515,5686,5529,5469,5775,6484
1516,5686,5530,5469,5775,6485
1517,5686,5530,5469,5775,6485
1518,5689,5530,5473,5775,6485
1519,5693,5533,5478,5775,6488
1520,5701,5536,5478,5775,6489
1521,5707,5536,5483,5779,6495
1522,5708,5538,5485,5782,6503
1523,5709,5538,5488,5782,6503
1524,5710,5544,5494,5782,6507
1525,5710,5545,5494,5788,6507
1526,5712,5548,5498,5789,6512
1527,5715,5552,5500,5792,6517
1528,5717,5552,5503,5793,6520
1529,5722,5555,5508,5803,6521
1530,5725,5564,5516,5811,6527
1531,5725,5571,5516,5811,6527
1532,5725,5575,5516,5812,6527
1533,5734,5577,5524,5819,6530
1534,5737,5583,5524,5819,6540
1535,5742,5587,5528,5822,6545
1536,5743,5591,5528,5831,6545
1537,5745,5593,5531,5833,6548
1538,5746,5593,5532,5834,6550
1539,5753,5596,5540,5834,6555
1540,5756,5598,5547,5842,6560
1541,5756,5598,5547,5843,6562
1542,5764,5598,5549,5844,6564
1543,5764,5598,5558,5844,6574
1544,5764,5601,5560,5844,6575
1545,5772,5603,5566,5848,6578
1546,5774,5604,5567,5853,6584
1547,5777,5604,5568,5855,6585
1548,5778,5604,5568,5855,6585
1549,5781,5607,5571,5857,6592
1550,5782,5607,5573,5857,6592
1551,5785,5609,5577,5861,6592
1552,5790,5612,5581,5866,6597
1553,5791,5612,5582,5868,6600
1554,5803,5614,5587,5870,6601
1555,5804,5615,5588,5871,6601
1556,5806,5617,5590,5873,6602
1557,5813,5622,5598,5880,6609
1558,5815,5626,5602,5883,6609
1559,5816,5626,5602,5885,6611
1560,5824,5634,5611,5892,6613
1561,5827,5635,5613,5892,6613
1562,5831,5636,5616,5892,6617
1563,5835,5640,5620,5896,6621
1564,5835,5640,5620,5896,6621
1565,5835,5643,5620,5896,6621
1566,5840,5646,5620,5898,6624
1567,5840,5646,5620,5899,6625
1568,5840,5649,5620,5903,6629
1569,5840,5649,5620,5905,6629
1570,5840,5649,5621,5905,6629
1571,5840,5653,5626,5908,6631
1572,5851,5657,5631,5912,6637
1573,5854,5661,5637,5917,6643
1574,5855,5665,5638,5917,6643
1575,5855,5665,5638,5917,6647
1576,5857,5666,5639,5920,6649
1577,5861,5666,5643,5922,6654
1578,5865,5666,5644,5925,6654
1579,5865,5666,5644,5925,6658
1580,5867,5669,5646,5929,6659
1581,5868,5670,5647,5930,6660
1582,5874,5670,5654,5933,6663
1583,5875,5670,5655,5933,6663
1584,5875,5670,5655,5933,6663
1585,5875,5670,5656,5934,6663
1586,5876,5672,5657,5935,6664
1587,5877,5673,5658,5937,6665
1588,5880,5676,5666,5940,6668
1589,5880,5678,5668,5940,6670
1590,5883,5681,5674,5940,6670
1591,5885,5684,5676,5942,6670
1592,5885,5684,5676,5943,6670
1593,5885,5684,5676,5943,6671
1594,5885,5684,5676,5944,6675
1595,5892,5690,5682,5947,6683
1596,5895,5692,5686,5951,6688
1597,5897,5692,5691,5958,6697
1598,5903,5695,5693,5958,6699
1599,5905,5698,5696,5959,6702
1600,5906,5700,5698,5960,6707
1601,5906,5702,5700,5963,6707
1602,5908,5706,5701,5964,6708
1603,5909,5706,5704,5967,6710
1604,5910,5707,5705,5968,6711
1605,5910,5710,5705,5968,6711
1606,5910,5710,5706,5973,6711
1607,5910,5710,5706,5973,6712
1608,5916,5717,5707,5979,6716
1609,5916,5718,5708,5980,6718
1610,5917,5719,5708,5981,6720
1611,5917,5722,5712,5981,6720
1612,5918,5731,5715,5981,6720
1613,5920,5731,5717,5983,6720
1614,5920,5739,5717,5985,6722
1615,5925,5741,5718,5988,6724
1616,5930,5744,5724,5994,6726
1617,5930,5748,5724,5994,6727
1618,5937,5748,5725,5995,6727
1619,5937,5750,5725,5997,6731
1620,5938,5755,5726,5997,6733
1621,5944,5759,5731,6005,6737
1622,5948,5761,5731,6008,6738
1623,5952,5761,5734,6015,6738
1624,5959,5762,5741,6016,6744
1625,5964,5769,5742,6020,6746
1626,5964,5769,5742,6020,6747
1627,5965,5770,5742,6027,6749
1628,5965,5779,5742,6027,6749
1629,5967,5779,5742,6028,6749
1630,5975,5784,5747,6034,6751
1631,5976,5786,5747,6038,6753
1632,5977,5788,5747,6038,6754
1633,5980,5790,5747,6038,6759
1634,5984,5793,5747,6038,6760
1635,5986,5796,5749,6038,6761
